ID,Fecha Compra,Fecha Venta,Marca,Modelo,Talla,Tienda Origen,Plataforma Venta,Cuenta Venta,Precio Compra,Precio Venta,Gastos Extra,Estado,Ganancia Neta,ROI %,Ruta Archivo
1,2026-01-19 17:49:57.585547,,Nike ,nike t90,40.0,asos,,,23.2,0.0,0.0,En Stock,0.0,0.0,
2,2026-01-19 18:33:56.822938,,Nike ,nike t90 ,38.5,asos,,,23.2,0.0,0.0,En Stock,0.0,0.0,
3,2026-01-19 19:30:30.286653,,puma,bailarinas speedcat,40.0,footlocker,,,13.0,0.0,0.0,En Stock,0.0,0.0,
4,2026-01-19 19:33:55.880256,,the north face,futurelight,"39,5",el corte ingles,,,23.0,0.0,0.0,En Stock,0.0,0.0,
5,2026-01-19 22:18:16.795693,,Adidas,Sl- Precio-,44,Asos,,,32.0,0.0,0.0,En Stock,0.0,0.0,
6,2026-01-19 22:34:07.668119,,Adidas,Sl- 72,37,Asphatgolt,,,24.0,0.0,0.0,En Stock,0.0,0.0,
7,2026-01-19 22:35:33.618064,,Adidas,Sl72 S,37,Asphaltgold,,,24.0,0.0,0.0,En Stock,0.0,0.0,
8,2026-01-19 22:39:34.529466,,Adidas,Sl72,37,Asphatgold,,,24.0,0.0,0.0,En Stock,0.0,0.0,
9,2026-01-19 22:40:06.473736,,Hoka ,Clifton,41,Asphatgold,,,48.0,0.0,0.0,En Stock,0.0,0.0,
10,2026-01-19 22:40:34.851069,,Veja,Campo,37,Asphatgold,,,35.25,0.0,0.0,En Stock,0.0,0.0,
11,2026-01-19 22:40:55.778891,,Veja,Campo,38.5,Asphatgold,,,35.25,0.0,0.0,En Stock,0.0,0.0,
12,2026-01-19 22:43:20.932216,,Slaomon,Advanced,36,Footdistrict,,,51.0,0.0,0.0,En Stock,0.0,0.0,
13,2026-01-19 22:43:49.305723,,Adidas,Campus,36,Footdistrict,,,32.4,0.0,0.0,En Stock,0.0,0.0,
